wav_file,ground_truth,gemini_stt_text
1756121051765345.wav,"पोषण ट्रैकर में सभी बच्चे जो छोटे है वो बेबी के नाम से शो हो रहे है, इससे हम कंफ्यूज हो जाते है",पोशन ट्रैकर में सभी बच्चे जो छोटे हैं वो वेदी के नाम से शो हो रहे हैं इसमें हम कंफ्यूज हो जाते हैं
1473238230405982.wav,क्या में अपनी फ़ैमिली आईडी अलग करवा सकती हूँ?,क्या मैं अपनी फैमिली आईडी अलग करवा सकती हूं?
1886159865308785.wav,"आप हमारी किसी काम की नहीं है, किसी भी प्रश्न का सही उत्तर नहीं दे पा रही है",आप हमारे किसी काम की नहीं हैं। किसी भी प्रश्न का सही उत्तर नहीं दे पा रही हैं।
1392360452889094.wav,"नाम दीदी, जय जय श्री राम जय श्री शाम राधे राधे, दीदी मेरा कल सक्सेसफुल हो गया, पांच प्रश्नों का उत्तर सही हुआ है, और लॉक भी खुल गया दीदी, बहुत बहुत धन्यवाद आपका",राम दीदी जय जय राम जय श्री श्याम राधे राधे दीदी मेरा कल सक्सेसफुल हो गया। पांच प्रश्नों के उत्तर सही पाए और लॉक भी खुल गया दीदी। बहुत-बहुत धन्यवाद आपका।
1344597243836389.wav,इस तरह का मार्गदर्शन करने के लिए आपका बहुत बहुत धन्यवाद,इस तरह का मार्गदर्शन करने के लिए आपका बहुत-बहुत धन्यवाद।
1139738341608135.wav,स्वल्ला,सवाल
1017622387157983.wav,"हम्म, ठीक है मैडम, पर मेरा ना आई सी डी एस का जो शनिवार वाला टेस्ट आता है, वो नहीं आया",ठीक है मैडम पर मेरा ना आईसीडीएस का जो शनिवार वाला टेस्ट आता है वो नहीं आया।
1128666189437926.wav,"मुझे टेस्ट देना है, कृपाया लिंक भेजे","मुझे टेस्ट देना है, कृपया लिंक भेजें।"
838318912486461.wav,हर महीने में मेरा कितना वजन बढ़ना चाहिए?,हर महीने में मेरा कितना वजन बढ़ना चाहिए
1352978506618729.wav,"माला आता पचवा महीना अहे, माला सरकारी सुविधा कुठे भेटू शक्ति?",बोलो सर तो मला आता पाचवा महिना आहे मला सरकारी सुविधा कुठली भेटू शकते.
1253534463206645.wav,"मैं नौ महीना पेट से हूँ, और मुझे क्या खाना ज़रूरी है वो बताओ",मैं 9 महीना पेट से हूं और मुझे क्या खाना जरूरी है वो बताओ।
1454764985596815.wav,जलन हो रही मैडम क्या करे?,अजाओ नदी में और एक क्या करें
1535151617932535.wav,हमारे ह्वाट्सऐप पर टेस्ट नहीं आ रहा है,हमारे WhatsApp पर टेस्ट नहीं आ रहा है।
801106959553719.wav,आई सी डी एस टेस्ट,ICDS test.
1410046620741206.wav,चेकअप क्या होता है प्रेग्नेंट में?,C-cup kya hota hai praman ki
769845976056803.wav,अभी छटा महीना चल रहा है क्या क्या खाना छाइये खाने में और कितनी बार खाना खाना चाहिए,अभी छठा महीना चल रहा है क्या क्या खाना चाहिए खाने में और कितने बार खाना खाना चाहिए
1513000746418402.wav,सैटरडे वाला टेस्ट देना है जी,सर चड्डे वाला टेस्ट देना है
2333812740417064.wav,मुझे शनिवार का जो पिछला शनिवार गया उसका टेस्ट का लिंक चाहिए वो भेज दो,मुझे शनिवार का जो पिछला शनिवार गया उसका इसी डेट टेस्ट का लिंक चाहिए वो भेज दो।
4141345536125525.wav,फाइल कहाँ से खोली जाएगी,फाइल कहां से खोली जाएगी
1366384631785963.wav,"में गर्भवती माता हूँ, मुझे छटा महीना चालू है, मेरे पूरे बदन पे बहुत सारी खुजली आ रही है तो में क्या करूँ?","मैं गर्भवती माता हूं, मुझे छठा महीना चालू है। मेरे पूरे बदन पर बहुत सारी खुजली आ रही है तो मैं क्या करूं।"
